ID,Row,UID,Gen,Geno,F1Num,Scale,Photo,biomass,max_width,width_0,width_10,width_20,width_30,width_40,width_50,width_60,width_70,width_80,width_90,width_100,length,length_width_ratio,shoulder_top,shoulder_bottom,tip_angle_top,tip_angle_bottom,above_tipangle_top,above_tipangle_bottom,created,modified,type
1043,1205,1063-MAP-2024,F2,1592-ConicalxRound-F2,1592,928,1,3467.1473,55.3014,18.11,54.98,49.26,35.79,22.96,15.95,12.83,11.64,9.49,7.87,0.11,139.2776,2.52,46.309,25.2753,8.246320814,14.36141466,8.0765,67.9935,10/22/24 9:31,10/22/24 11:17,binary
1044,1205,1064-MAP-2024,F2,1592-ConicalxRound-F2,1592,948,1,1595.0873,50.429,12.66,33.02,34.6,33.13,28.59,21.94,20.26,17.41,8.33,5.91,0.11,73.428,1.46,22.3273,24.0413,19.35899418,13.67130713,0.1002,26.1783,10/22/24 9:31,10/22/24 11:17,binary
1045,1205,1065-MAP-2024,F2,1592-ConicalxRound-F2,1592,932,1,2873.2451,78.7582,5.04,42.6,42.38,31.01,22.53,18.35,16.74,14.49,12.45,15.77,0.32,122.6439,1.56,105.0242,39.1452,46.37483478,16.72796392,25.5595,105.0127,10/22/24 9:31,10/22/24 11:17,binary
1046,1205,1066-MAP-2024,F2,1592-ConicalxRound-F2,1592,930,1,5388.8065,66.005,6.45,63.53,63.53,53.1,33.33,20.1,16.34,11.07,9.89,8.49,1.18,175.5475,2.66,123.0047,108.675,6.123254619,10.63290898,48.386,48.7558,10/22/24 9:31,10/22/24 11:17,binary
1047,1205,1067-MAP-2024,F2,1592-ConicalxRound-F2,1592,947,1,990.0512,35.4816,8.66,30.1,33.69,34.85,33.79,29.88,24.5,18.16,12.36,9.72,0.74,41.184,1.16,33.967,20.2732,38.32011394,38.32011394,7.3934,10.0585,10/22/24 9:31,10/22/24 11:17,binary
1048,1205,1068-MAP-2024,F2,1592-ConicalxRound-F2,1592,949,1,2900.8016,46.2706,9.49,42.58,46.17,42.79,36.26,28.98,22.77,17.39,13.7,10.86,0.53,102.6596,2.22,43.3591,68.1769,16.76661137,22.61986495,22.6627,44.7699,10/22/24 9:31,10/22/24 11:17,binary
1049,1205,1069-MAP-2024,F2,1592-ConicalxRound-F2,1592,947,1,4169.973,62.304,7.5,51.64,60.51,62.09,59.56,52.59,40.87,26.4,19.11,12.88,0.42,102.7488,1.65,120.0332,124.1927,17.77132082,27.1496817,22.916,31.3688,10/22/24 9:31,10/22/24 11:17,binary
1050,1205,1070-MAP-2024,F2,1592-ConicalxRound-F2,1592,928,1,2843.6428,53.361,21.67,44.52,45.38,38.48,27.38,21.78,16.17,12.72,11.75,9.38,0.43,114.807,2.15,51.5733,46.0883,38.65980825,13.55945187,15.1536,40.7775,10/22/24 9:31,10/22/24 11:17,binary
1051,1205,1071-MAP-2024,F2,1592-ConicalxRound-F2,1592,929,1,4381.638,67.6804,25.29,60.79,67.47,62.19,50.68,34.75,20.44,15.71,14.31,12.37,0.22,120.512,1.78,106.5038,126.788,28.70008928,8.264494085,10.4084,88.6278,10/22/24 9:31,10/22/24 11:17,binary
1052,1205,1072-MAP-2024,F2,1592-ConicalxRound-F2,1592,947,1,2745.7436,51.216,7.29,42.77,49.74,50.79,47.73,42.56,35.16,25.03,16.47,10.98,0.63,81.4176,1.59,73.4763,97.9982,28.5778125,26.37842063,2.1076,25.3582,10/22/24 9:31,10/22/24 11:17,binary
1053,1205,1073-MAP-2024,F2,1592-ConicalxRound-F2,1592,929,1,3990.7497,61.9776,20.98,52.62,61.33,59.61,50.68,36.15,20.34,16.46,11.62,7.75,1.29,117.3916,1.89,141.4339,107.2448,23.4746176,3.922712891,9.899,26.0036,10/22/24 9:31,10/22/24 11:17,binary
1054,1205,1074-MAP-2024,F2,1592-ConicalxRound-F2,1592,930,1,1589.5853,37.7325,7.96,36.23,36.98,31.71,23.54,15.91,10.32,8.71,8.28,7.09,0.32,81.8075,2.17,37.6965,25.4815,12.92599912,18.15270589,24.8459,12.4692,10/22/24 9:31,10/22/24 11:17,binary
1055,1206,1075-MAP-2024,F2,1592-ConicalxRound-F2,1592,943,1,2489.6954,46.216,29.57,40.7,45.05,44.84,37.95,29.04,19.29,12.83,9.54,8.9,0.64,93.492,2.02,64.8654,58.1351,2.842137884,27.69150842,4.4719,35.6855,10/22/24 9:31,10/22/24 11:17,binary
1056,1206,1076-MAP-2024,F2,1592-ConicalxRound-F2,1592,953,1,3931.5237,57.9048,49.09,57.49,49.83,36.09,25.28,19.72,16.99,13.11,10.7,9.55,0.52,145.9159,2.52,12.1374,20.9846,2.567597329,21.9783843,67.1245,22.2831,10/22/24 9:31,10/22/24 11:17,binary
1057,1206,1077-MAP-2024,F2,1592-ConicalxRound-F2,1592,930,1,4994.6344,52.9975,9.03,50.85,52.14,48.38,41.06,34.72,26.55,19.57,15.37,9.57,0.54,156.4125,2.95,98.3437,66.1826,11.16799442,19.38856771,5.0616,43.4862,10/22/24 9:31,10/22/24 11:17,binary
